[18-Mar-2015 17:14:16 America/New_York] PHP Notice:  Undefined variable: output in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 35
[18-Mar-2015 18:21:48 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 64
[18-Mar-2015 18:22:32 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 64
[18-Mar-2015 18:23:49 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 64
[18-Mar-2015 18:29:55 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 18:32:26 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 18:33:41 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 18:33:44 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 21:12:55 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 21:15:12 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 21:18:52 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 21:19:41 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 21:20:42 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 60
[18-Mar-2015 21:23:51 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 72
[18-Mar-2015 21:27:37 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 72
[18-Mar-2015 21:29:08 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 72
[18-Mar-2015 23:58:35 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 72
[19-Mar-2015 00:20:34 America/New_York] PHP Notice:  Undefined variable: styles_extractDataTable in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 81
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
[19-Mar-2015 00:20:35 America/New_York] PHP Notice:  Array to string conversion in /Applications/MAMP/htdocs/SDM_CMS/apps/embedlyTester/embedlyTester.php on line 33
